Japenese Together,Japanese,Ja to En
suliman 21,suliman ,Suliman
プリム 21,プリム ,Purim
ミッドナイト 21,ミッドナイト ,Midnight
シェイド 21,シェイド ,Shade
八つ裂き 21,八つ裂き ,Dismembered
ラプトル 21,ラプトル ,Raptor
ポイズン 21,ポイズン ,Poison
フレミング 21,フレミング ,Fleming
決し 21,決し ,Definitely
ボンジュール 21,ボンジュール ,Bonjour
hoge 21,hoge ,hoge
教義 21,教義 ,doctrine
拙者 21,拙者 ,I
落ち度 21,落ち度 ,Fault
ポンペイ 21,ポンペイ ,Pompeii
弱体 21,弱体 ,Weak
丸め 21,丸め ,Rounding
シールズ 21,シールズ ,Shields
過敏 21,過敏 ,hypersensitivity
仕立屋 21,仕立屋 ,tailor
満杯 21,満杯 ,Full
双角 21,双角 ,double horn
hope 21,hope ,hope
キュクロプス 21,キュクロプス ,Cyclops
兵舎 21,兵舎 ,Barracks
遠心 21,遠心 ,Centrifugation
うめき声 21,うめき声 ,Moaning
fuckin 21,fuckin ,fuckin
候 21,候 ,weather
猟師 21,猟師 ,Hunter
サーク 21,サーク ,Sark
逆だ 21,逆だ ,It's the opposite.
差し向け 21,差し向け ,Sent
fda 21,fda ,fda
ストーク 21,ストーク ,Stoke
込み入 21,込み入 ,Complicated
連れ戻せ 21,連れ戻せ ,Bring him back
さだ 21,さだ ,Sada
ロックス 21,ロックス ,Rocks
パコ 21,パコ ,Paco
イノシシ 21,イノシシ ,Wild boar
タイタニック 21,タイタニック ,Titanic
安息 21,安息 ,rest
キャニオン 21,キャニオン ,Canyon
バチカン 21,バチカン ,Vatican
メート 21,メート ,Mate
剥ぎ取 21,剥ぎ取 ,Stripping
bit 21,bit ,bit
入念 21,入念 ,Careful
play 21,play ,play
曲線 21,曲線 ,curve
チェコフ 21,チェコフ ,Chekhov
ヴァロン 21,ヴァロン ,Valon
バイパー 21,バイパー ,Viper
嘘っぱち 21,嘘っぱち ,Liar
コロンブス 21,コロンブス ,Columbus
バク 21,バク ,Tapir
ナルセン 21,ナルセン ,Naruse
モーデット 21,モーデット ,Maudette
計測 21,計測 ,Measurement
信憑 21,信憑 ,Credibility
話し掛け 21,話し掛け ,Talk to
組み換え 21,組み換え ,Recombination
聖者 21,聖者 ,saint
海辺 21,海辺 ,Seaside
ケイレン 21,ケイレン ,Convulsions
盗み聞き 21,盗み聞き ,Eavesdropping
ざ 21,ざ ,The 
ダッジ 21,ダッジ ,Dodge
目録 21,目録 ,Catalog
ユーイング 21,ユーイング ,Ewing
閉館 21,閉館 ,Closed
sweet 21,sweet ,sweet
蹴破 21,蹴破 ,Kick down
给 21,给 ,给
ムンバイ 21,ムンバイ ,Mumbai
ポリー 21,ポリー ,Polly
後日 21,後日 ,at a later date 
善行 21,善行 ,good deed
ハンプトン 21,ハンプトン ,Hampton
喫茶 21,喫茶 ,Cafe
フェザー 21,フェザー ,Feather
湿気 21,湿気 ,Humidity
湾岸 21,湾岸 ,Gulf Coast
わから 21,わから ,I don't understand
間際 21,間際 ,Last minute
リコン 21,リコン ,Recon
ロマノフ 21,ロマノフ ,Romanov
メンドーサ 21,メンドーサ ,Mendoza
一人前 21,一人前 ,Serving size
ビビッ 21,ビビッ ,Scared
絶え間 21,絶え間 ,Constantly
女装 21,女装 ,women's clothing 
its 21,its ,its
such 21,such ,such
ヘッジ 21,ヘッジ ,Hedging
バレル 21,バレル ,Barrel
傷痕 21,傷痕 ,scar
チャネル 21,チャネル ,Channel
ぐちゃぐちゃ 21,ぐちゃぐちゃ ,Messy
疎 21,疎 ,Sparse
コーネル 21,コーネル ,Cornell
カナリア 21,カナリア ,Canary
ウィング 21,ウィング ,Wing
終点 21,終点 ,the last stop 
ごろつき 21,ごろつき ,Thug
ハーレム 21,ハーレム ,Harem
ケンドリック 21,ケンドリック ,Kendrick
後ろめた 21,後ろめた ,Guilt
チャーチル 21,チャーチル ,Churchill
white 21,white ,white
障壁 21,障壁 ,Barriers
もち 21,もち ,rice cake 
moon 21,moon ,moon
気管 21,気管 ,Trachea
ようし 21,ようし ,Good
ジュンソク 21,ジュンソク ,Junseok
ミツバチ 21,ミツバチ ,Honeybees
光三 21,光三 ,Mitsuzo
いつ頃 21,いつ頃 ,When
騎兵隊 21,騎兵隊 ,cavalry
ひん 21,ひん ,hin
映写 21,映写 ,Filming
新宿 21,新宿 ,Shinjuku
就け 21,就け ,Job
前哨 21,前哨 ,outpost
方言 21,方言 ,dialect
セラーズ 21,セラーズ ,Cellars
ポドリック 21,ポドリック ,Podrick
エルロンド 21,エルロンド ,Elrond
ペリット 21,ペリット ,Pellets
アトランティック 21,アトランティック ,Atlantic
独断 21,独断 ,Arbitrary
マリオン 21,マリオン ,Marion
オーソン 21,オーソン ,Orson
ハーケン 21,ハーケン ,Hook
ロンダ 21,ロンダ ,Ronda
かし 21,かし ,snack 
リモート 21,リモート ,Remote
盛り上げ 21,盛り上げ ,Excitement
二手 21,二手 ,second move
兄士 21,兄士 ,brothers and sisters
ヨナス 21,ヨナス ,Jonas
貧弱 21,貧弱 ,Poor
暖ま 21,暖ま ,Warm up
天罰 21,天罰 ,Divine Punishment
吉良 21,吉良 ,Kira
拍子 21,拍子 ,Beat
ティーンエイジャー 21,ティーンエイジャー ,Teenager
パンティ 21,パンティ ,Panties
介護 21,介護 ,nursing care 
ポータル 21,ポータル ,Portal
ボマー 21,ボマー ,Bomber
逆行 21,逆行 ,retrograde
ズレ 21,ズレ ,Misalignment
アセテート 21,アセテート ,Acetate
通りすがり 21,通りすがり ,Passing by
親分 21,親分 ,Boss
屑 21,屑 ,scraps
イット 21,イット ,It
余興 21,余興 ,Entertainment
デルフィン 21,デルフィン ,Delphine
ミートボール 21,ミートボール ,Meatballs
かー 21,かー ,Car
凝 21,凝 ,stiffness
バリン 21,バリン ,Ballin
アニマル 21,アニマル ,Animal
プログラミング 21,プログラミング ,Programming
今来 21,今来 ,Now
ズーム 21,ズーム ,Zoom
交友 21,交友 ,friendship
イムラン 21,イムラン ,Imran
馬力 21,馬力 ,horsepower
選考 21,選考 ,Selection
従軍 21,従軍 ,Military
新生 21,新生 ,New birth
沢潟 21,沢潟 ,Sawagata
小言 21,小言 ,Scolding
長女 21,長女 ,Eldest Daughter
誉れ 21,誉れ ,Honor
狩人 21,狩人 ,Hunter
母船 21,母船 ,Mothership
カーミット 21,カーミット ,Kermit
変ね 21,変ね ,Strange.
ラジャー 21,ラジャー ,Rajah
熱望 21,熱望 ,Aspirations
メラディス 21,メラディス ,Meladis
一理 21,一理 ,One reason
リリース 21,リリース ,release 
見下ろ 21,見下ろ ,Look Down
直々 21,直々 ,Directly
日課 21,日課 ,Daily Routine
やり過ぎ 21,やり過ぎ ,Too much
トーチ 21,トーチ ,Torch
話合 21,話合 ,discussion
アーマー 21,アーマー ,Armor
ｐｃ 21,ｐｃ ,PC
身なり 21,身なり ,Appearance
ノリ 21,ノリ ,Nori
荷台 21,荷台 ,Cargo bed
クリケット 21,クリケット ,Cricket
撃ち込 21,撃ち込 ,Shoot
不便 21,不便 ,inconvenience
エイムズ 21,エイムズ ,Ames
こだわり 21,こだわり ,Particulars
レディース 21,レディース ,Women's
分娩 21,分娩 ,Parturition
ふしだら 21,ふしだら ,Lewd
アトリー 21,アトリー ,Atlee
ago 21,ago ,ago
締め上げ 21,締め上げ ,Tightening
平然 21,平然 ,Calmly
植え付け 21,植え付け ,Planting
ぶち壊し 21,ぶち壊し ,Breaking
networks 21,networks ,Networks
叩き込 21,叩き込 ,Hammering in
マデン 21,マデン ,Madden
seen 21,seen ,seen
バスケ 21,バスケ ,Basketball
コギンス 21,コギンス ,Coggins
真意 21,真意 ,True intention
タイタン 21,タイタン ,Titan
微塵 21,微塵 ,Dust
オチ 21,オチ ,ending 
増殖 21,増殖 ,Proliferation
御名 21,御名 ,Name
やりとり 21,やりとり ,Interaction
コス 21,コス ,Cos
アジズ 21,アジズ ,Aziz
プルトニウム 21,プルトニウム ,Plutonium
バーツ 21,バーツ ,Baht
汁 21,汁 ,Soup
神殿 21,神殿 ,Temple
タマネギ 21,タマネギ ,onion 
赴 21,赴 ,Going to work
オーケン 21,オーケン ,Oken
出港 21,出港 ,Departure
だまし 21,だまし ,Deception
エルビス 21,エルビス ,Elvis
バーナビー 21,バーナビー ,Burnaby
大きさ 21,大きさ ,Size
cnn 21,cnn ,cnn
育成 21,育成 ,Development
アイツラ 21,アイツラ ,Those guys
うめき 21,うめき ,Moan
waiting 21,waiting ,waiting
カプチーノ 21,カプチーノ ,Cappuccino
引っかけ 21,引っかけ ,Hook
クヌート 21,クヌート ,Knut
片岡 21,片岡 ,Kataoka
テディー 21,テディー ,Teddy
マーゴット 21,マーゴット ,Margot
マルクス 21,マルクス ,Marx
切り口 21,切り口 ,cut 
著作 21,著作 ,Works
つぶし 21,つぶし ,Crush
マラカイ 21,マラカイ ,Malachi
ラフ 21,ラフ ,Rough
ひと時 21,ひと時 ,Moment
嘘つきめ 21,嘘つきめ ,Liar
チューリップ 21,チューリップ ,Tulips
ヒョウ 21,ヒョウ ,Leopard
ババドック 21,ババドック ,The Babadook
曾 21,曾 ,so
楽屋 21,楽屋 ,Dressing room
篭 21,篭 ,Basket
融け 21,融け ,Melt
講習 21,講習 ,Training
ナマズ 21,ナマズ ,catfish 
マケドニア 21,マケドニア ,Macedonia
マティ 21,マティ ,Matty
贖罪 21,贖罪 ,atonement
母艦 21,母艦 ,mothership
一節 21,一節 ,a passage
迎撃 21,迎撃 ,Intercept
発光 21,発光 ,Illumination
親衛 21,親衛 ,guard
膀胱 21,膀胱 ,bladder
アハハ 21,アハハ ,Hahaha
かが 21,かが ,Kaga
撃破 21,撃破 ,Defeat
キャベンディッシュ 21,キャベンディッシュ ,Cavendish
トレーダー 21,トレーダー ,Trader
従来 21,従来 ,Conventional
漕げ 21,漕げ ,Row
飲料 21,飲料 ,beverage
脱臼 21,脱臼 ,Dislocation
渦巻 21,渦巻 ,Swirl
把 21,把 ,grip
州立 21,州立 ,State
年下 21,年下 ,younger
悪女 21,悪女 ,Villainess
美貌 21,美貌 ,beauty
流石 21,流石 ,As expected
サーキット 20,サーキット ,Circuit
ワザ 20,ワザ ,Trick
菜食 20,菜食 ,Vegetarian
サーズ 20,サーズ ,SARS
アキレス 20,アキレス ,Achilles
図形 20,図形 ,Shape
咬 20,咬 ,bite
bring 20,bring ,bring
スケートボード 20,スケートボード ,Skateboarding
ローマックス 20,ローマックス ,Lowmax
ボスラー 20,ボスラー ,Bosler
アレッサ 20,アレッサ ,Alessa
見通せ 20,見通せ ,See through
ahonymous 20,ahonymous ,Anonymous
shake 20,shake ,Shake
もが 20,もが ,Moga
めちゃめちゃ 20,めちゃめちゃ ,Extremely
足場 20,足場 ,Scaffolding
メイズ 20,メイズ ,Maze
ground 20,ground ,ground
ほどほど 20,ほどほど ,Moderately
見つけれ 20,見つけれ ,Found
聞き入れ 20,聞き入れ ,Listen
満点 20,満点 ,Full marks
惨殺 20,惨殺 ,Massacre
藪 20,藪 ,Bush
エンパイア 20,エンパイア ,Empire
リンド 20,リンド ,Lind
居れ 20,居れ ,Stay
セレステ 20,セレステ ,Celeste
よしみ 20,よしみ ,Friendship
クローディア 20,クローディア ,Claudia
曽 20,曽 ,Old
乗り捨て 20,乗り捨て ,Drop-off
ナイトウォーカー 20,ナイトウォーカー ,Night Walker
牡蠣 20,牡蠣 ,oyster 
スポンジ 20,スポンジ ,Sponge
試薬 20,試薬 ,Reagents
備蓄 20,備蓄 ,Stockpiling
せっかち 20,せっかち ,Impatient
引力 20,引力 ,gravity
視察 20,視察 ,inspection
バニング 20,バニング ,Banning
レーガン 20,レーガン ,Reagan
背信 20,背信 ,betrayal
ヴィル 20,ヴィル ,Ville
帰郷 20,帰郷 ,Homecoming
巻物 20,巻物 ,Scroll
チャトール 20,チャトール ,Chatur
アントワーヌ 20,アントワーヌ ,Antoine
やべえ 20,やべえ ,Oh no!
非凡 20,非凡 ,extraordinary
ちや 20,ちや ,Chiya
仁 20,仁 ,Jin
目下 20,目下 ,Currently
目つき 20,目つき ,Eyes
降り注 20,降り注 ,Raindrops
ヴィカ 20,ヴィカ ,Vika
ゾクゾク 20,ゾクゾク ,Thrilling
避妊 20,避妊 ,Contraception
しガ 20,しガ ,Shiga
君子 20,君子 ,gentleman
魔王 20,魔王 ,Demon King
小村 20,小村 ,Komura
キャトリン 20,キャトリン ,Catelyn
変色 20,変色 ,Discoloration
エバレッツ 20,エバレッツ ,Everetts
铛 20,铛 ,sword
停学 20,停学 ,Suspension
ラーク 20,ラーク ,Lark
個展 20,個展 ,Solo Exhibitions
副業 20,副業 ,Side job
心苦し 20,心苦し ,Heartbroken
ニース 20,ニース ,Nice
オーシャニック 20,オーシャニック ,Oceanic
掘り返 20,掘り返 ,Digging up
かく 20,かく ,write 
愛犬 20,愛犬 ,My dog
丶夜 20,丶夜 ,night
せま 20,せま ,Narrow
公証 20,公証 ,Notarization
再来 20,再来 ,Second coming
コルデロ 20,コルデロ ,Cordero
mother 20,mother ,mother
プレスコット 20,プレスコット ,Prescott
おぼえ 20,おぼえ ,Remember
飲み込め 20,飲み込め ,Swallow it
はが 20,はが ,Hag
デブラ 20,デブラ ,Debra
ボウ 20,ボウ ,Bow
ムスコ 20,ムスコ ,Son
物狂い 20,物狂い ,Crazy
ラスター 20,ラスター ,Raster
ナパ 20,ナパ ,Napa
アスティー 20,アスティー ,Asti
荒地 20,荒地 ,wasteland
真空 20,真空 ,vacuum
部員 20,部員 ,Members
手並み 20,手並み ,Skills
部局 20,部局 ,Department
リディック 20,リディック ,Riddick
ナーバス 20,ナーバス ,Nervous
しぐさ 20,しぐさ ,Gestures
hands 20,hands ,hands
ひび 20,ひび ,Crack
余命 20,余命 ,Life expectancy
ウィズ 20,ウィズ ,With
ビビアン 20,ビビアン ,Vivian
追い求め 20,追い求め ,Pursuit
無駄遣い 20,無駄遣い ,Wasteful
meet 20,meet ,meet
天体 20,天体 ,Celestial body
スク 20,スク ,Suku
ソケット 20,ソケット ,Socket
アップデート 20,アップデート ,Updates
チェルシー 20,チェルシー ,Chelsea
ヘインズ 20,ヘインズ ,Haynes
アミン 20,アミン ,Amine
スウィート 20,スウィート ,Sweet
窮屈 20,窮屈 ,cramped 
shada 20,shada ,shada
絹 20,絹 ,Silk
ピックアップ 20,ピックアップ ,Pickup
赤穂 20,赤穂 ,Ako
のみだ 20,のみだ ,Only
オープニング 20,オープニング ,Opening
呵責 20,呵責 ,Remorse
ロストフ 20,ロストフ ,Rostov
ﾃﾞｳﾞｨｯﾄﾞ 20,ﾃﾞｳﾞｨｯﾄﾞ ,David
置物 20,置物 ,Ornaments
階層 20,階層 ,hierarchy
light 20,light ,light
修羅 20,修羅 ,Shura
ラスキー 20,ラスキー ,Rusky
thanks 20,thanks ,thanks
カービー 20,カービー ,Kirby
受話 20,受話 ,Answering a call
出し抜け 20,出し抜け ,Suddenly
聴衆 20,聴衆 ,Audience
右肩 20,右肩 ,right shoulder
酵素 20,酵素 ,Enzymes
赤坂 20,赤坂 ,Akasaka
ベンチャー 20,ベンチャー ,Venture
あいこ 20,あいこ ,Aiko
排気 20,排気 ,exhaust 
心棒 20,心棒 ,mandrel
吾 20,吾 ,I
スキナー 20,スキナー ,Skinner
enterprise 20,enterprise ,enterprise
名手 20,名手 ,Master
トーリ 20,トーリ ,Tori
大差 20,大差 ,By a large margin
性分 20,性分 ,Character
出せよ 20,出せよ ,Give it to me
気狂い 20,気狂い ,Crazy
指数 20,指数 ,index
要人 20,要人 ,important person
ダークネス 20,ダークネス ,Darkness
しり 20,しり ,Butt
ブラウス 20,ブラウス ,Blouse
バルーン 20,バルーン ,Balloon
空き家 20,空き家 ,Vacant house
刺客 20,刺客 ,assassin
ゆう 20,ゆう ,excellent 
ガタガタ 20,ガタガタ ,Shaky
ダイ 20,ダイ ,Thailand 
計略 20,計略 ,Plan
イライザ 20,イライザ ,Eliza
ジョーン 20,ジョーン ,Joan
ルックス 20,ルックス ,Looks
剥製 20,剥製 ,Stuffed animal
分配 20,分配 ,distribution
上野 20,上野 ,Ueno
刺せ 20,刺せ ,Stab
塩水 20,塩水 ,Salt water
デニー 20,デニー ,Denny
魂胆 20,魂胆 ,Intentions
メレディス 20,メレディス ,Meredith
ぶっ潰 20,ぶっ潰 ,Crushed
地下道 20,地下道 ,underpass
ごちゃごちゃ 20,ごちゃごちゃ ,Clutter
ペギー 20,ペギー ,Peggy
シャレ 20,シャレ ,Prank
ビレッジ 20,ビレッジ ,Village
招き 20,招き ,Invitation
遠足 20,遠足 ,Field trip
根源 20,根源 ,root
生きがい 20,生きがい ,Purpose in life
テミストクレス 20,テミストクレス ,Themistocles
恰好 20,恰好 ,good appearance
懲罰 20,懲罰 ,punishment
reason 20,reason ,reason
ガージ 20,ガージ ,Gargi
ディーツ 20,ディーツ ,Dietz
武君 20,武君 ,Warrior
フォジー 20,フォジー ,Fozzy
マルウェア 20,マルウェア ,Malware
mcquaid 20,mcquaid ,mcquaid
チャス 20,チャス ,Chas
請け負 20,請け負 ,Undertaking
壷 20,壷 ,Vase
プリン 20,プリン ,Pudding
暗がり 20,暗がり ,Darkness
ニー 20,ニー ,Knee
afraid 20,afraid ,afraid
かすめ 20,かすめ ,Grazing
突き進 20,突き進 ,Push forward
サッパリ 20,サッパリ ,Refreshing
野戦 20,野戦 ,Field battle
御覧 20,御覧 ,Please see
フリッツ 20,フリッツ ,Fritz
勅 20,勅 ,Imperial command
見切り 20,見切り ,End of conversation
チャレンジ 20,チャレンジ ,Challenge
よそよそし 20,よそよそし ,Aloof
里山 20,里山 ,Satoyama
アルバ 20,アルバ ,Aruba
タイニー 20,タイニー ,Tiny
受け渡し 20,受け渡し ,Delivery
命取り 20,命取り ,Fatal
いやが 20,いやが ,I hate it
被せ 20,被せ ,Cover
ストイック 20,ストイック ,Stoic
ウゥ 20,ウゥ ,Ugh
みたく 20,みたく ,Mitaku
洗い 20,洗い ,Washing
高温 20,高温 ,high temperature
締め付け 20,締め付け ,Tightening
サダム 20,サダム ,Saddam
差し入れ 20,差し入れ ,Gift
外食 20,外食 ,Dining out
酒飲み 20,酒飲み ,Drinker
刈 20,刈 ,Mowing
タネン 20,タネン ,Tannen
綴り 20,綴り ,Spelling
トースター 20,トースター ,Toaster
くぐ 20,くぐ ,Kug
峡谷 20,峡谷 ,canyon
bend 20,bend ,bend
死に際 20,死に際 ,Death
エアー 20,エアー ,Air
mercy 20,mercy ,mercy
飾り付け 20,飾り付け ,Decoration
鹿間 20,鹿間 ,Shikama
角笛 20,角笛 ,Horn
肩書き 20,肩書き ,Title
inside 20,inside ,inside
いらし 20,いらし ,Irashi
ちょっかい 20,ちょっかい ,Meddling
州境 20,州境 ,State border
マドックス 20,マドックス ,Maddox
ベクトル 20,ベクトル ,Vector
ウフフ 20,ウフフ ,Ufufu
くつろげ 20,くつろげ ,Relax
仕舞 20,仕舞 ,Closing
携え 20,携え ,Carry
サンタマルタ 20,サンタマルタ ,Santa Marta
解約 20,解約 ,Cancellation 
冨 20,冨 ,Wealth
foosa 20,foosa ,foosa
ディアズ 20,ディアズ ,Diaz
mmm 20,mmm ,mmm
厳粛 20,厳粛 ,Solemn
砲弾 20,砲弾 ,Shells
five 20,five ,five
モンテ 20,モンテ ,Monte
エーデン 20,エーデン ,Eden
ヒラリー 20,ヒラリー ,Hillary
子牛 20,子牛 ,Calf
軽減 20,軽減 ,Mitigation
摂政 20,摂政 ,Regent
グッズ 20,グッズ ,Merchandise
味噌 20,味噌 ,Miso
マハ 20,マハ ,Maha
岩本 20,岩本 ,Iwamoto
トリカブト 20,トリカブト ,Aconite
急進 20,急進 ,Radical
告知 20,告知 ,Announcement
墓石 20,墓石 ,Gravestone
markl 20,markl ,markl
ウーズマ 20,ウーズマ ,Oozma
劉 20,劉 ,Liu
ニキー 20,ニキー ,Nicky
品物 20,品物 ,Goods
梱包 20,梱包 ,Packaging
働きかけ 20,働きかけ ,Initiatives
あお 20,あお ,blue 
路面 20,路面 ,road surface
大袈裟 20,大袈裟 ,Exaggeration
引きちぎ 20,引きちぎ ,Tear
聖霊 20,聖霊 ,Holy Spirit
言い返 20,言い返 ,Retort
新参 20,新参 ,Newbie
ファーザー 20,ファーザー ,Father
咥え 20,咥え ,Hold
ランドリ 20,ランドリ ,Laundry
取り巻 20,取り巻 ,Entourage
サユリ 20,サユリ ,Sayuri
ひざまづけ 20,ひざまづけ ,Kneel
ビープ 20,ビープ ,Beep
ティモ 20,ティモ ,Timo
覆い 20,覆い ,Cover
只今 20,只今 ,Right now
鍛冶屋 20,鍛冶屋 ,Blacksmith
カラット 20,カラット ,Carat
嫌味 20,嫌味 ,Sarcasm
腑 20,腑 ,gut
ミスト 20,ミスト ,Mist
役立て 20,役立て ,Useful
転落 20,転落 ,Fall
ファウラー 20,ファウラー ,Fowler
ローチ 20,ローチ ,Roach
上書き 20,上書き ,Overwrite
モメ 20,モメ ,Trouble
葛藤 20,葛藤 ,Conflict
仲買 20,仲買 ,Brokerage
ばらばら 20,ばらばら ,Scattered
鉄鋼 20,鉄鋼 ,Steel
ビクトル 20,ビクトル ,Victor
ハートリー 20,ハートリー ,Hartley
ケネックス 20,ケネックス ,K'NEX
公女 20,公女 ,Princess
固有 20,固有 ,Unique
すかし 20,すかし ,Watermark
イブン 20,イブン ,Ibn
垂ら 20,垂ら ,Drooping
フィニック 20,フィニック ,Finnick
ヒルトン 20,ヒルトン ,Hilton
コマンチ 20,コマンチ ,Comanche
引き延ば 20,引き延ば ,Stretch
風呂場 20,風呂場 ,Bathroom
ヒート 20,ヒート ,Heat
養蜂 20,養蜂 ,beekeeping
めぐ 20,めぐ ,Megu
腕立て 20,腕立て ,Push-ups
園芸 20,園芸 ,Horticulture
雹 20,雹 ,Hail
リサイクル 20,リサイクル ,Recycling
数珠 20,数珠 ,Prayer beads
バンバン 20,バンバン ,Bang bang
ハーレン 20,ハーレン ,Harlen
無鉄砲 20,無鉄砲 ,Reckless
悪質 20,悪質 ,Malicious
アガ 20,アガ ,Aga
ーえ 20,ーえ ,-Eh
朝日 20,朝日 ,Asahi
ディフェンス 20,ディフェンス ,Defense
wish 20,wish ,wish
ハイハイ 20,ハイハイ ,Crawl
たぐい 20,たぐい ,Type
キリン 20,キリン ,giraffe 
save 20,save ,save
リマ 20,リマ ,Lima
ハーヴィ 20,ハーヴィ ,Harvey
もみ消 20,もみ消 ,Cover up
詰め物 20,詰め物 ,Filling
続編 20,続編 ,Sequel
ジェファソニアン 20,ジェファソニアン ,Jeffersonian
税務 20,税務 ,Tax
参戦 20,参戦 ,Participation
釜山 20,釜山 ,Busan
ｉ 20,ｉ ,i
ガルベス 20,ガルベス ,Galvez
york 20,york ,york
撲滅 20,撲滅 ,eradication
バケット 20,バケット ,Bucket
ヨハネスブルグ 20,ヨハネスブルグ ,Johannesburg
コロン 20,コロン ,Colon
苛 20,苛 ,Harsh
ペドロ 20,ペドロ ,Pedro
駐屯 20,駐屯 ,Garrison
語り継 20,語り継 ,Passing on
サンコープ 20,サンコープ ,Suncorp
密航 20,密航 ,Stowaway
フォレスター 20,フォレスター ,Forester
止めれ 20,止めれ ,Stop it
巻き 20,巻き ,Rolling
ホーキング 20,ホーキング ,Hawking
四半 20,四半 ,Quarter
アマドール 20,アマドール ,Amador
不尽 20,不尽 ,inexhaustible
shot 20,shot ,shot
垣内 20,垣内 ,Kakiuchi
見せ掛け 20,見せ掛け ,Pretense
オナ 20,オナ ,Ona
干し草 20,干し草 ,Hay
てろ 20,てろ ,Tero
バース 20,バース ,Bath
投 20,投 ,throw
聖地 20,聖地 ,sacred place
对 20,对 ,对
宝くじ 20,宝くじ ,lottery 
鑑賞 20,鑑賞 ,Appreciation
飛ばし 20,飛ばし ,Fly
つば 20,つば ,Brim
们 20,们 ,People
死に掛け 20,死に掛け ,Near death
行く手 20,行く手 ,The way forward
アニル 20,アニル ,Anil
真理 20,真理 ,truth
トニック 20,トニック ,Tonic
重んじ 20,重んじ ,Value
エブ 20,エブ ,Eb
ゲル 20,ゲル ,Gel
飛び込み 20,飛び込み ,Diving
程遠 20,程遠 ,far away
みじめ 20,みじめ ,Miserable
ティレル 20,ティレル ,Tyrrell
ちんこ 20,ちんこ ,Penis
加勢 20,加勢 ,Support
みち子 20,みち子 ,Michiko
聞き取れ 20,聞き取れ ,Listen
ドーズ 20,ドーズ ,Dawes
きわめて 20,きわめて ,Extremely
仏語 20,仏語 ,French
ディミトリー 20,ディミトリー ,Dimitri
ノロマ 20,ノロマ ,Noroma
尻拭い 20,尻拭い ,Cleaning up
ようだ 20,ようだ ,It seems
four 20,four ,four
トルク 20,トルク ,Torque
だから 20,だから ,that's why 
チャート 20,チャート ,Charts
よだれ 20,よだれ ,Drooling
氣 20,氣 ,Ki
創業 20,創業 ,Founding
高飛び 20,高飛び ,High Jump
まつ 20,まつ ,pine tree 
タタリ 20,タタリ ,Tatari
ダーウィン 20,ダーウィン ,Darwin
ぶつ 20,ぶつ ,Bump
孝 20,孝 ,filial piety
縮め 20,縮め ,Shrink
助けれ 20,助けれ ,Help!
ジョフリ 20,ジョフリ ,Jofri
やべ 20,やべ ,Oh no
乗り出 20,乗り出 ,Embark
赤色 20,赤色 ,Red
エッフェル 20,エッフェル ,Eiffel
ブチ込 20,ブチ込 ,Insert
任期 20,任期 ,term of office
カーボン 20,カーボン ,Carbon
赤んぼ 20,赤んぼ ,Baby
催涙 20,催涙 ,Tears
控訴 20,控訴 ,appeal
オデッサ 20,オデッサ ,Odessa
水軍 20,水軍 ,navy
庄 20,庄 ,Sho
フィクション 20,フィクション ,Fiction
かわい子 20,かわい子 ,Cute child
シーモア 20,シーモア ,Seymour
キルガレン 20,キルガレン ,Kilgallen
ベルファスト 20,ベルファスト ,Belfast
先見 20,先見 ,Foresight
採血 20,採血 ,Blood collection
無駄足 20,無駄足 ,A wasted trip
アイモ 20,アイモ ,Aimo
そー 20,そー ,Right.
芸能 19,芸能 ,Entertainment
剥離 19,剥離 ,Peeling
またまた 19,またまた ,Again
ウィンドゥ 19,ウィンドゥ ,Windu
迫力 19,迫力 ,force 
ブリ 19,ブリ ,Yellowtail
山々 19,山々 ,Mountains
ツァー 19,ツァー ,Tsar
そい 19,そい ,Yes
ハマッド 19,ハマッド ,Hamad
ラウンジ 19,ラウンジ ,Lounge
コーウィン 19,コーウィン ,Corwin
統括 19,統括 ,Supervision
急増 19,急増 ,Rapid increase
メカゾード 19,メカゾード ,Mechazord
爆竹 19,爆竹 ,firecrackers
雌 19,雌 ,female
恒例 19,恒例 ,Regular
擦 19,擦 ,Rubbing
シリング 19,シリング ,Shilling
コルツ 19,コルツ ,Colts
継父 19,継父 ,Stepfather
押しのけ 19,押しのけ ,Push aside
ブリーン 19,ブリーン ,Breen
召使い 19,召使い ,Servant
皆無 19,皆無 ,None
mav 19,mav ,mav
マルチ 19,マルチ ,Multi
インフラ 19,インフラ ,Infrastructure
th 19,th ,th
付き物 19,付き物 ,Accompaniment
ラビット 19,ラビット ,Rabbit
ミルキー 19,ミルキー ,Milky
フィガロ 19,フィガロ ,Figaro
mnu 19,mnu ,mnu
猛獣 19,猛獣 ,Wild Beast
遅ら 19,遅ら ,Late
採石場 19,採石場 ,quarry
ウィ 19,ウィ ,Wi
探り 19,探り ,Explore
et 19,et ,et
ぁれ 19,ぁれ ,Ah!
ごまかせ 19,ごまかせ ,Cheating
兄者 19,兄者 ,Brother
にら 19,にら ,Leek
静ま 19,静ま ,Quiet
便器 19,便器 ,Toilet
雑魚 19,雑魚 ,Small fry
忌まわし 19,忌まわし ,Abomination
散開 19,散開 ,spread out
グール 19,グール ,Ghoul
猪 19,猪 ,Boar
ルイーザ 19,ルイーザ ,Louisa
