Korean Together,Korean,Ko to En
좋은가 35,좋은가 ,Is it good?
데릭의 35,데릭의 ,Derek's
잠재력을 35,잠재력을 ,Potential
곡은 35,곡은 ,The song is
바쳐 35,바쳐 ,Dedicate
만듭니다 35,만듭니다 ,Make it
아시면 35,아시면 ,If you know
안협네 35,안협네 ,No problem
이러는지 35,이러는지 ,Is this how it is
키루밍을 35,키루밍을 ,Kiruming
건드려 35,건드려 ,Touch
백화점 35,백화점 ,department store 
인질을 35,인질을 ,Hostage
표적 35,표적 ,Target
필요하잖아 35,필요하잖아 ,I need it
독한 35,독한 ,Poisonous
범행 35,범행 ,Crime
캔자스 35,캔자스 ,Kansas
스타니스 35,스타니스 ,Stannis
괜찮대 35,괜찮대 ,It's okay
받았는지 35,받았는지 ,Did you get it?
신중히 35,신중히 ,Carefully
통화가 35,통화가 ,The currency
먹는다고 35,먹는다고 ,I'm eating
잔디 35,잔디 ,grass 
나갔는데 35,나갔는데 ,I went out
확신은 35,확신은 ,Confidence is
우선은 35,우선은 ,First of all
la에서 35,la에서 ,In la
동안의 35,동안의 ,During
끼워 35,끼워 ,Put it in
맛이야 35,맛이야 ,It's delicious
워킹데드 35,워킹데드 ,The Walking Dead
준비시켜 35,준비시켜 ,Get ready
고집을 35,고집을 ,Stubbornness
놈이에요 35,놈이에요 ,That guy
시대 35,시대 ,Era
체계를 35,체계를 ,The system
폭발물을 35,폭발물을 ,Explosives
검이 35,검이 ,The sword
할머니의 35,할머니의 ,Grandma's
중이거든요 35,중이거든요 ,I'm in the middle
그거라면 35,그거라면 ,If that's the case
경관이 35,경관이 ,The scenery
그것과 35,그것과 ,With that
기념으로 35,기념으로 ,As a souvenir
모자가 35,모자가 ,The hat
데이트도 35,데이트도 ,Dating too
물고기가 35,물고기가 ,The fish
믿어라 35,믿어라 ,Trust me
팀이야 35,팀이야 ,It's a team
계속하고 35,계속하고 ,Keep going
블레어 35,블레어 ,Blair
추진 35,추진 ,Propulsion
호르몬 35,호르몬 ,Hormones
갖기 35,갖기 ,Have
되찾아 35,되찾아 ,Get it back
턱이 35,턱이 ,The chin
양식을 35,양식을 ,The form
대낮에 35,대낮에 ,In broad daylight
않았더라면 35,않았더라면 ,If it hadn't been
배우게 35,배우게 ,Learn
무기들을 35,무기들을 ,The weapons
가져오지 35,가져오지 ,Don't bring
사도 35,사도 ,Apostle
농장에 35,농장에 ,On the farm
있기만 35,있기만 ,Just exist
자동으로 35,자동으로 ,Automatically
경비대 35,경비대 ,Guard
웃음이 35,웃음이 ,Laughter
으아 35,으아 ,Ugh
살자 35,살자 ,Let's live
동전을 35,동전을 ,A coin
간대 35,간대 ,Liver
차이 35,차이 ,difference 
낮아 35,낮아 ,Low
모양으로 35,모양으로 ,In the shape of
묻힌 35,묻힌 ,Buried
슬프게도 35,슬프게도 ,Sadly
돌아왔구나 35,돌아왔구나 ,You're back
다했어요 35,다했어요 ,I'm done
강에서 35,강에서 ,In the river
10일 35,10일 ,10 days
피해야 35,피해야 ,Avoid
재생 35,재생 ,Play
투어를 35,투어를 ,Take a tour
4시에 35,4시에 ,At 4 o'clock
흩어져 35,흩어져 ,Scattered
체포된 35,체포된 ,Arrested
요리도 35,요리도 ,Cooking too
타냐 35,타냐 ,Tanya
재앙을 35,재앙을 ,Disaster
도망쳤어 35,도망쳤어 ,ran away
비용 35,비용 ,expense 
걸면 35,걸면 ,If you walk
관심은 35,관심은 ,Interest is
거짓말하고 35,거짓말하고 ,Lying
만도 35,만도 ,Dumplings
기다렸는데 35,기다렸는데 ,I waited
르 35,르 ,le 
파티야 35,파티야 ,It's a party
작품이 35,작품이 ,The work
비난할 35,비난할 ,To blame
2시에 35,2시에 ,At 2 o'clock
카렙 35,카렙 ,Caleb
쓰러진 35,쓰러진 ,Fallen down
번호판 35,번호판 ,License plate
교회의 35,교회의 ,Of the church
마땅히 35,마땅히 ,Should be
웃으며 35,웃으며 ,With a smile
혈압을 35,혈압을 ,Blood pressure
5시간 35,5시간 ,5 hours
사이렌 35,사이렌 ,Siren
않더라도 35,않더라도 ,Even if not
되야 35,되야 ,It has to be
표적이 35,표적이 ,The target
싸움에서 35,싸움에서 ,In the fight
남자들의 35,남자들의 ,Men's
춤출 35,춤출 ,Dance
모두한테 35,모두한테 ,To everyone
잡아야지 35,잡아야지 ,I have to catch it
담에 35,담에 ,Next time
정할 35,정할 ,To decide
행동하고 35,행동하고 ,Take action
데일리 35,데일리 ,Daily
구해줘 35,구해줘 ,Save me
그만하지 35,그만하지 ,Stop it
했으니까요 35,했으니까요 ,Because I did it
계좌를 35,계좌를 ,Account
팬이 35,팬이 ,The fan
폭력은 35,폭력은 ,Violence is
바꾸기 35,바꾸기 ,Change
혼 35,혼 ,soul 
말해줄까 35,말해줄까 ,Should I tell you?
정중하게 35,정중하게 ,Politely
크리스가 35,크리스가 ,Chris
아니지요 35,아니지요 ,No
꼬마를 35,꼬마를 ,The little one
행사에 35,행사에 ,At the event
연애를 35,연애를 ,Love
뾰족한 35,뾰족한 ,Pointed
건강하고 35,건강하고 ,Healthy and
에이브리 35,에이브리 ,Avery
공평한 35,공평한 ,Fair
이고 35,이고 ,And
벗어나야 35,벗어나야 ,I have to get out
그애를 35,그애를 ,That kid
데려갈게 35,데려갈게 ,I'll take you
강해질 35,강해질 ,Become stronger
알아차리지 35,알아차리지 ,Don't notice
하킴을 35,하킴을 ,Hakim
차우 35,차우 ,Chow
말겠어 35,말겠어 ,I'll tell you
대체로 35,대체로 ,In general
데려가세요 35,데려가세요 ,Take it with you
듣지도 35,듣지도 ,Don't even hear it
못해도 35,못해도 ,Even if I can't
도와주려는 35,도와주려는 ,Want to help
리처드는 35,리처드는 ,Richard is
북 35,북 ,North
전화하세요 35,전화하세요 ,Call me
이득을 35,이득을 ,Profit
효과는 35,효과는 ,The effect is
뛰게 35,뛰게 ,Run
비서가 35,비서가 ,The secretary
기능 35,기능 ,function 
맡기는 35,맡기는 ,Leave it to
지도에 35,지도에 ,On the map
습격을 35,습격을 ,Raid
말하는거 35,말하는거 ,Talking
도서관에 35,도서관에 ,In the library
공유할 35,공유할 ,To share
첫째로 35,첫째로 ,First of all
흉터가 35,흉터가 ,The scar
손가락에 35,손가락에 ,On the finger
감사하게 35,감사하게 ,Thank you
얼굴의 35,얼굴의 ,Of the face
주십쇼 35,주십쇼 ,Please give it to me
원칙을 35,원칙을 ,The principle
봐주는 35,봐주는 ,Look after
않겠다는 35,않겠다는 ,I won't
이겨야 35,이겨야 ,Must win
때문인가요 35,때문인가요 ,Is it because
아빠에 35,아빠에 ,To dad
박혀 35,박혀 ,Stuck
안됐네요 35,안됐네요 ,That's too bad
데려오면 35,데려오면 ,If you bring it
입구를 35,입구를 ,The entrance
알아야만 35,알아야만 ,You have to know
여깁니다 35,여깁니다 ,Here it is
굴면 35,굴면 ,Oyster noodles
손톱 35,손톱 ,Fingernails
합리적인 35,합리적인 ,Reasonable
정도를 35,정도를 ,The degree
하에 35,하에 ,Under
가져가도 35,가져가도 ,Even if you take it
데릭을 35,데릭을 ,Derek
있으려고 35,있으려고 ,To be there
페니가 35,페니가 ,Penny
저녁으로 35,저녁으로 ,For dinner
많이들 35,많이들 ,A lot of people
뻔했네 35,뻔했네 ,It was obvious
소리니 35,소리니 ,Sound
대로만 35,대로만 ,Just like that
있으니깐 35,있으니깐 ,Because it's there
열었어 35,열었어 ,It's open
함장님이 35,함장님이 ,The captain
둘도 35,둘도 ,Both
거랍니다 35,거랍니다 ,It's huge
이모는 35,이모는 ,My aunt
제이는 35,제이는 ,Jay is
때입니다 35,때입니다 ,It's time
귀찮은 35,귀찮은 ,Annoying
하트 35,하트 ,heart 
으응 35,으응 ,Yeah
버튼이 35,버튼이 ,The button
신이여 35,신이여 ,Oh my god
올리브 35,올리브 ,Olive
캘리는 35,캘리는 ,Cali is
것이라는 35,것이라는 ,That is
반대야 35,반대야 ,Opposite
아니까요 35,아니까요 ,"No, I don't"
스콧이 35,스콧이 ,Scott
신청 35,신청 ,application 
콜롬비아에서 35,콜롬비아에서 ,In Colombia
포기했어 35,포기했어 ,I gave up
환자와 35,환자와 ,With the patient
복수의 35,복수의 ,Revenge
변형 35,변형 ,Transformation
싶은대로 35,싶은대로 ,As you wish
없었단다 35,없었단다 ,There wasn't any
비용은 35,비용은 ,The cost is
정도만 35,정도만 ,Just the degree
투자를 35,투자를 ,Invest
네트워크를 35,네트워크를 ,Network
드시고 35,드시고 ,Eat and drink
보이겠지만 35,보이겠지만 ,You can see it
에반스 35,에반스 ,Evans
일라이 35,일라이 ,Eli
당황하지 35,당황하지 ,Don't panic
보소 35,보소 ,Look
주시하고 35,주시하고 ,Watch out
암호는 35,암호는 ,The password is
역사는 35,역사는 ,History is
니미 35,니미 ,Nimi
준비됐니 35,준비됐니 ,Are you ready?
게으른 35,게으른 ,Lazy
않더군 35,않더군 ,No
우수한 35,우수한 ,Excellent
미쳤다 35,미쳤다 ,Crazy
여유를 35,여유를 ,Take your time
타겟 35,타겟 ,Target
장애가 35,장애가 ,Disability
자말은 35,자말은 ,Jamal is
고백할 35,고백할 ,To confess
그럴리 35,그럴리 ,That's probably true
달리기 35,달리기 ,running 
급해 35,급해 ,Urgent
받았던 35,받았던 ,Received
드레 35,드레 ,Dre
서로에 35,서로에 ,To each other
라그나의 35,라그나의 ,Ragnar's
낼게 35,낼게 ,I'll do it
살았지 35,살았지 ,I lived
루퍼스 35,루퍼스 ,Rufus
질문입니다 35,질문입니다 ,This is a question
잡으라고 35,잡으라고 ,Catch me
데이트는 35,데이트는 ,Dating is
드리면 35,드리면 ,If you give me
뿐야 35,뿐야 ,Only
너네는 35,너네는 ,You guys
훈련은 35,훈련은 ,Training is
좋아했는데 34,좋아했는데 ,I liked it
다루기 34,다루기 ,Dealing with
가려고요 34,가려고요 ,I'm going to go
덩어리 34,덩어리 ,lump
울음을 34,울음을 ,Crying
아기에게 34,아기에게 ,To the baby
어머니한테 34,어머니한테 ,To my mother
보여드릴 34,보여드릴 ,I'll show you
부상당한 34,부상당한 ,Injured
하나님을 34,하나님을 ,God
가진게 34,가진게 ,What I have
테이블에서 34,테이블에서 ,At the table
자랑 34,자랑 ,Pride
생각대로 34,생각대로 ,As I thought
팀으로 34,팀으로 ,As a team
루시는 34,루시는 ,Lucy
어둠에 34,어둠에 ,In the dark
입도 34,입도 ,Mouth
보이시죠 34,보이시죠 ,You can see it
들어오라고 34,들어오라고 ,Come in
호수에서 34,호수에서 ,At the lake
은퇴 34,은퇴 ,Retirement
붙여서 34,붙여서 ,Paste it
모은 34,모은 ,Collected
무전 34,무전 ,Radio
정해 34,정해 ,Set
수수께끼 34,수수께끼 ,Riddle
성적으로 34,성적으로 ,Sexually
사회를 34,사회를 ,Society
부분도 34,부분도 ,Partially
중에서도 34,중에서도 ,Among them
필요하다고요 34,필요하다고요 ,I need it
허락해 34,허락해 ,Allow me
소개할 34,소개할 ,To introduce
그런일은 34,그런일은 ,That kind of thing
키스도 34,키스도 ,Kiss too
알았다고요 34,알았다고요 ,"Okay, I got it."
갖다줘 34,갖다줘 ,Bring it to me
콜린 34,콜린 ,Colin
더할 34,더할 ,Add
않으시면 34,않으시면 ,If you don't
갇혀서 34,갇혀서 ,Trapped
베스는 34,베스는 ,Beth is
형편이 34,형편이 ,The situation
때려요 34,때려요 ,Hit me
버크의 34,버크의 ,Burke's
내부에서 34,내부에서 ,From the inside
실을 34,실을 ,Thread
지금부터는 34,지금부터는 ,From now on
새겨진 34,새겨진 ,Engraved
마법사의 34,마법사의 ,The wizard's
젊었을 34,젊었을 ,When I was young
분명하게 34,분명하게 ,Clearly
뻔하지 34,뻔하지 ,It's obvious
때쯤 34,때쯤 ,About that time
도로에 34,도로에 ,On the road
기록도 34,기록도 ,The record too
어젯밤엔 34,어젯밤엔 ,Last night
그다음 34,그다음 ,Next
흉내를 34,흉내를 ,Imitation
퍼스트 34,퍼스트 ,First
거부하고 34,거부하고 ,Reject
똑똑하지 34,똑똑하지 ,Not smart
않는단다 34,않는단다 ,I don't think so
믿은 34,믿은 ,Believe
타겟을 34,타겟을 ,Target
페기 34,페기 ,Peggy
비로소 34,비로소 ,Finally
제외하고는 34,제외하고는 ,Except for
추잡한 34,추잡한 ,Dirty
반지가 34,반지가 ,The ring
너밖에 34,너밖에 ,Only you
테이블을 34,테이블을 ,The table
새끼들이 34,새끼들이 ,The pups
아팠어요 34,아팠어요 ,I was sick
하기를 34,하기를 ,To do
놀이를 34,놀이를 ,Play
재미있네 34,재미있네 ,It's funny
미합중국 34,미합중국 ,United States of America
끝으로 34,끝으로 ,Finally
의사로 34,의사로 ,As a doctor
상상력이 34,상상력이 ,Imagination
낫네요 34,낫네요 ,That's better
팀장님 34,팀장님 ,Team leader
브루클린 34,브루클린 ,Brooklyn
좋겠소 34,좋겠소 ,I wish
달러는 34,달러는 ,The dollar
사람에겐 34,사람에겐 ,For people
알아야해 34,알아야해 ,You need to know
인사는 34,인사는 ,Greetings
합법적으로 34,합법적으로 ,Legally
온전히 34,온전히 ,Completely
시작이군 34,시작이군 ,It's the beginning
따 34,따 ,follow 
쓰지마 34,쓰지마 ,Don't use it
조용하게 34,조용하게 ,Quietly
마리의 34,마리의 ,Marie's
마약에 34,마약에 ,On drugs
임상실험 34,임상실험 ,Clinical trials
가졌고 34,가졌고 ,I had
다쳐서 34,다쳐서 ,Because I got hurt
1마일 34,1마일 ,1 mile
스트라이크 34,스트라이크 ,Strike
바이 34,바이 ,bisexual 
장담할 34,장담할 ,I can guarantee
알아내고 34,알아내고 ,Find out
리가요 34,리가요 ,Rigayo
예전과 34,예전과 ,As before
액체 34,액체 ,Liquid
내려온 34,내려온 ,Came down
아니라서요 34,아니라서요 ,"No, it's not"
못할걸 34,못할걸 ,I can't do it
휴지 34,휴지 ,tissue 
공중에 34,공중에 ,In the air
말하더군요 34,말하더군요 ,He said
세계적인 34,세계적인 ,World-class
하시는지 34,하시는지 ,Are you doing it?
벌레가 34,벌레가 ,The bug
서둘러서 34,서둘러서 ,Hurry up
용을 34,용을 ,The dragon
질색이야 34,질색이야 ,I'm sick of it
거부하는 34,거부하는 ,Rejecting
닿는 34,닿는 ,Reaching
저흴 34,저흴 ,I am
한장 34,한장 ,One sheet
물에서 34,물에서 ,In the water
자산을 34,자산을 ,Assets
케네디 34,케네디 ,Kennedy
야이 34,야이 ,Hey
니들은 34,니들은 ,You guys
말씀인지 34,말씀인지 ,Are you talking?
야옹 34,야옹 ,Meow
딜런이 34,딜런이 ,Dylan
온전한 34,온전한 ,Complete
스피드 34,스피드 ,Speed
탓에 34,탓에 ,Because of that
곳까지 34,곳까지 ,To where
분이세요 34,분이세요 ,You are a person
덩어리가 34,덩어리가 ,A lump
공연에 34,공연에 ,At the performance
필요없다고 34,필요없다고 ,I don't need it
말씀입니다 34,말씀입니다 ,It's a word
제공할 34,제공할 ,To provide
말씀드렸잖아요 34,말씀드렸잖아요 ,I told you
축구를 34,축구를 ,Playing soccer
해야한다고 34,해야한다고 ,I have to do it
수작 34,수작 ,A work of art
엘라 34,엘라 ,Ella
터놓고 34,터놓고 ,Openly
남친이 34,남친이 ,My boyfriend
중국은 34,중국은 ,China is
다르지만 34,다르지만 ,But different
황제가 34,황제가 ,The emperor
프랑스의 34,프랑스의 ,French
복장을 34,복장을 ,Dress up
내거야 34,내거야 ,It's mine
사과드립니다 34,사과드립니다 ,I apologize
터지는 34,터지는 ,Bursting
테디를 34,테디를 ,Teddy
메디 34,메디 ,Medi
떨어지게 34,떨어지게 ,Fall off
미디어 34,미디어 ,Media
당장이요 34,당장이요 ,Right now
품에서 34,품에서 ,In the arms
상황에서도 34,상황에서도 ,Even in this situation
모르는구나 34,모르는구나 ,I don't know
존의 34,존의 ,John's
의사로서 34,의사로서 ,As a doctor
자크 34,자크 ,Jacques
주는거야 34,주는거야 ,I'm giving it to you
폭발로 34,폭발로 ,By explosion
봤냐 34,봤냐 ,Did you see it?
단계는 34,단계는 ,The steps are
않았습니까 34,않았습니까 ,Didn't you
차량에 34,차량에 ,In the vehicle
프렌치 34,프렌치 ,French
섬이 34,섬이 ,The island
농장을 34,농장을 ,The farm
속임수를 34,속임수를 ,Cheating
일으키지 34,일으키지 ,Don't wake up
분석을 34,분석을 ,Analysis
진정제 34,진정제 ,Sedative
조심하게 34,조심하게 ,Be careful
저어 34,저어 ,Uh
14살 34,14살 ,14 years old
세면 34,세면 ,Washing face
영웅으로 34,영웅으로 ,As a hero
무엇이든지 34,무엇이든지 ,Anything
대포 34,대포 ,Cannon
9번 34,9번 ,Number 9
갔다올게 34,갔다올게 ,I'll go and come back
한명도 34,한명도 ,Not a single person
인근 34,인근 ,Nearby
일이네요 34,일이네요 ,It's work
호흡이 34,호흡이 ,Breathing
진행되고 34,진행되고 ,It's in progress
있은 34,있은 ,There was
공평하게 34,공평하게 ,Fairly
노력할 34,노력할 ,Try hard
걔들을 34,걔들을 ,Them
별명 34,별명 ,Nickname
스페셜 34,스페셜 ,Special
헬멧을 34,헬멧을 ,A helmet
떨어집니다 34,떨어집니다 ,It falls down
흘려 34,흘려 ,Flow
있으신 34,있으신 ,Have you
줄여서 34,줄여서 ,In short
내렸습니다 34,내렸습니다 ,It came down
습격 34,습격 ,Raid
퀸이 34,퀸이 ,Queen
협조를 34,협조를 ,Cooperation
속도는 34,속도는 ,The speed is
가기전에 34,가기전에 ,Before you go
속옷을 34,속옷을 ,Underwear
차고에서 34,차고에서 ,In the garage
전화나 34,전화나 ,Call or
가르침을 34,가르침을 ,Teaching
머물고 34,머물고 ,Stay
2개의 34,2개의 ,2 of
예수님의 34,예수님의 ,Jesus's
카운트다운 34,카운트다운 ,Countdown
부탁하지 34,부탁하지 ,Please
이해하지만 34,이해하지만 ,I understand but
말씀드릴게요 34,말씀드릴게요 ,I'll tell you
바치는 34,바치는 ,Offering
일어나봐 34,일어나봐 ,Wake up
드라이브를 34,드라이브를 ,Drive
맞설 34,맞설 ,Confront
야생 34,야생 ,Wild
길거리에 34,길거리에 ,On the street
떠나자 34,떠나자 ,Let's go
얻을수 34,얻을수 ,Can get
오웬을 34,오웬을 ,Owen
잡지에 34,잡지에 ,In the magazine
세상과 34,세상과 ,With the world
아니지만요 34,아니지만요 ,"No, but"
있다는거 34,있다는거 ,That it exists
선상님 34,선상님 ,Sir
후회하지 34,후회하지 ,No regrets
중이거든 34,중이거든 ,If it's heavy
샀는데 34,샀는데 ,I bought it
알려드립니다 34,알려드립니다 ,I would like to inform you
작아서 34,작아서 ,Because it's small
믿어져 34,믿어져 ,Believe it
그러는게 34,그러는게 ,That's right
결정이야 34,결정이야 ,It's a decision
도스 34,도스 ,DOS
추기경 34,추기경 ,Cardinal
상자가 34,상자가 ,The box
시장에서 34,시장에서 ,At the market
어렵다 34,어렵다 ,difficult 
나왔을 34,나왔을 ,Came out
순간은 34,순간은 ,The moment is
할머니랑 34,할머니랑 ,With grandma
펴고 34,펴고 ,Spread it out
토스트 34,토스트 ,Toast
공장에 34,공장에 ,At the factory
음식에 34,음식에 ,In food
죽였다는 34,죽였다는 ,Killed
들으라고 34,들으라고 ,Listen to me
세기의 34,세기의 ,of the century
요원의 34,요원의 ,Agent's
뒤쪽 34,뒤쪽 ,Back
분야에서 34,분야에서 ,In the field
레지던트를 34,레지던트를 ,The resident
쓰인 34,쓰인 ,Written
10달러 34,10달러 ,Ten dollars
외교 34,외교 ,Diplomacy
그래라 34,그래라 ,Okay
달랐어요 34,달랐어요 ,It was different
시작되는 34,시작되는 ,Starting
누릴 34,누릴 ,Enjoy
머무는 34,머무는 ,Staying
미치겠군 34,미치겠군 ,I'm going crazy
숨기지 34,숨기지 ,Don't hide
조직은 34,조직은 ,The organization
있던가 34,있던가 ,Was there
찾죠 34,찾죠 ,I'm looking for it
알아볼게 34,알아볼게 ,I'll find out
고파 34,고파 ,I'm hungry
일생을 34,일생을 ,A lifetime
뜨거 34,뜨거 ,Hot
엿먹어 34,엿먹어 ,fuck you 
해내지 34,해내지 ,Don't do it
보거나 34,보거나 ,See or
춤은 34,춤은 ,The dance
의미지 34,의미지 ,Meaning
삽니다 34,삽니다 ,Buy
층을 34,층을 ,The floor
별로요 34,별로요 ,Not really
드리지 34,드리지 ,Give me
빠르지 34,빠르지 ,Not fast
명이야 34,명이야 ,It's a name
상냥한 34,상냥한 ,Kind
윈터스 34,윈터스 ,Winters
장난감이 34,장난감이 ,The toy
아니라면요 34,아니라면요 ,If not
나에게서 34,나에게서 ,From me
에레트리아 34,에레트리아 ,Eretria
아니더라도 34,아니더라도 ,Even if not
찾았는지 34,찾았는지 ,Did you find it?
도로가 34,도로가 ,The road
자려고 34,자려고 ,To sleep
누군가요 34,누군가요 ,Someone
동맹이 34,동맹이 ,The alliance
진정해라 34,진정해라 ,Calm down
메리는 34,메리는 ,Mary
열정적인 34,열정적인 ,Passionate
해병대 34,해병대 ,Marine Corps
망쳐 34,망쳐 ,Screw it
대단하지 34,대단하지 ,That's great
재능은 34,재능은 ,Talent is
참여하고 34,참여하고 ,Participate and
당해 34,당해 ,At that time
밤낮 34,밤낮 ,Day and night
잡혀요 34,잡혀요 ,I'm caught
온거죠 34,온거죠 ,It's here
아닌게 34,아닌게 ,No it's not
버텨요 34,버텨요 ,Hang in there
일지도 34,일지도 ,Diary map
일엔 34,일엔 ,One day
당했다 34,당했다 ,I got hit
함선에 34,함선에 ,On the ship
역할이 34,역할이 ,The role
사람이오 34,사람이오 ,I'm a person
사고에 34,사고에 ,In an accident
괜찮은거 34,괜찮은거 ,It's okay
나오네 34,나오네 ,Come out
뿌려 34,뿌려 ,Sprinkle
모르겠다고 34,모르겠다고 ,I don't know
어쩔거야 34,어쩔거야 ,What should I do?
접근하는 34,접근하는 ,Approaching
계약서 34,계약서 ,contract 
않았거든요 34,않았거든요 ,I didn't
질병 34,질병 ,Disease
사귈 34,사귈 ,Let's date
할머니한테 34,할머니한테 ,To my grandmother
키도 34,키도 ,Kido
케인 34,케인 ,Cain
몰랐다고 34,몰랐다고 ,I didn't know
아무렇지 34,아무렇지 ,Nothing
해줄수 34,해줄수 ,I can do it
이웃들이 34,이웃들이 ,The neighbors
캠의 34,캠의 ,Cam's
니는 34,니는 ,You
될거요 34,될거요 ,It will be okay
3학년 34,3학년 ,3rd grade
대의를 34,대의를 ,The cause
영리하고 34,영리하고 ,Smart and
다물게 34,다물게 ,Close it
이왕 34,이왕 ,If so
애들의 34,애들의 ,Children's
어쩔래 34,어쩔래 ,What should I do
부정 34,부정 ,Negative
싸우다 34,싸우다 ,fight 
쫓기고 34,쫓기고 ,Being chased
사격을 34,사격을 ,Shooting
알려줘야 34,알려줘야 ,I have to let you know
반가웠습니다 34,반가웠습니다 ,It was nice to meet you
몸이야 34,몸이야 ,It's a body
치과 34,치과 ,Dentistry
구식 34,구식 ,Old fashioned
제어 34,제어 ,control 
이라크에서 34,이라크에서 ,In Iraq
라그나가 34,라그나가 ,Ragnar
양육권을 34,양육권을 ,Custody
결정적인 34,결정적인 ,Decisive
받는다 34,받는다 ,Receive
둘이나 34,둘이나 ,Two or
시작일 34,시작일 ,Start date
깨어났어 34,깨어났어 ,I woke up
올리면 34,올리면 ,If you upload it
하다고 34,하다고 ,I said
3천 34,3천 ,3 thousand
얼마나요 34,얼마나요 ,How much
왕비가 34,왕비가 ,The queen
믿나 34,믿나 ,Do you believe it?
타이렐 34,타이렐 ,Tyrell
찾아왔어요 34,찾아왔어요 ,I found it
오웬스 34,오웬스 ,Owens
지뢰를 34,지뢰를 ,Landmine
마차를 34,마차를 ,A carriage
님이 34,님이 ,You
했다구 34,했다구 ,I did it
똑똑하다고 34,똑똑하다고 ,You're smart
죽었네 34,죽었네 ,He's dead
통과할 34,통과할 ,To pass
할만한 34,할만한 ,Worth doing
사제 34,사제 ,Priest
뿐이었어요 34,뿐이었어요 ,That was it
전술 34,전술 ,Tactics
촬영이 34,촬영이 ,The shooting
제퍼슨 34,제퍼슨 ,Jefferson
재즈 34,재즈 ,Jazz
부상은 34,부상은 ,The injury
쏘라고 34,쏘라고 ,Shoot
인물을 34,인물을 ,The person
마땅한 34,마땅한 ,Suitable
유리를 34,유리를 ,Glass
하자꾸나 34,하자꾸나 ,Let's do it
차원이 34,차원이 ,Dimension
형태를 34,형태를 ,The shape
만들려면 34,만들려면 ,To make
차량이 34,차량이 ,The vehicle
못했네요 34,못했네요 ,I couldn't do it
척을 34,척을 ,Chuck
공급 34,공급 ,supply 
거리야 34,거리야 ,It's a street
물러나요 34,물러나요 ,Step back
몰라서요 34,몰라서요 ,I don't know
않을텐데 34,않을텐데 ,I don't think so
잊어버릴 34,잊어버릴 ,Forget it
어렵죠 34,어렵죠 ,It's difficult
물어보려고 34,물어보려고 ,To ask
사용을 34,사용을 ,Use
감기에 34,감기에 ,I have a cold
무작정 34,무작정 ,Just like that
팔찌를 34,팔찌를 ,The bracelet
욕을 34,욕을 ,Bath
거울에 34,거울에 ,In the mirror
싫어하고 34,싫어하고 ,I hate it
먹었잖아 34,먹었잖아 ,I ate it
도일 34,도일 ,Doyle
자존심을 34,자존심을 ,Pride
애송이 34,애송이 ,Aesongi
악어 34,악어 ,crocodile 
헤어지고 34,헤어지고 ,Break up
보내진 34,보내진 ,Sent
넘치고 34,넘치고 ,Overflowing
정교한 34,정교한 ,Sophisticated
앞두고 34,앞두고 ,Ahead
가족들도 34,가족들도 ,Family too
있을테니까 34,있을테니까 ,Because it will be there
에휴 34,에휴 ,Sigh
동료들은 34,동료들은 ,My colleagues
절단 34,절단 ,Cut
어려서 34,어려서 ,When I was young
쳤어요 34,쳤어요 ,I hit it
마일즈 34,마일즈 ,Miles
많아서요 34,많아서요 ,There are a lot
하십니까 34,하십니까 ,Are you doing it?
일하던 34,일하던 ,Working
아차 34,아차 ,Oops
속에서도 34,속에서도 ,Even within
배신하고 34,배신하고 ,Betray and
사이비 34,사이비 ,pseudo
가지로 34,가지로 ,With eggplant
직접적으로 34,직접적으로 ,Directly
명확한 34,명확한 ,Clear
남았죠 34,남았죠 ,It's left
브랜치 34,브랜치 ,Branch
서랍 34,서랍 ,Drawer
문제들이 34,문제들이 ,The problems
오로라 34,오로라 ,Aurora
바르게 34,바르게 ,Correctly
끊을 34,끊을 ,Cut off
이것과 34,이것과 ,With this
연주해 34,연주해 ,Play it
실례가 34,실례가 ,Excuse me
동지 34,동지 ,Comrade
잡지를 34,잡지를 ,The magazine
기다리다 34,기다리다 ,wait 
엄마나 34,엄마나 ,Mom
궁금하군 34,궁금하군 ,I wonder
어디갔지 34,어디갔지 ,Where did you go
알려줬어 34,알려줬어 ,I told you
할거요 34,할거요 ,I will do it
것보다는 34,것보다는 ,Rather than
줬던 34,줬던 ,Gave it
가죽을 34,가죽을 ,Leather
3분의 34,3분의 ,3 minutes
독감 34,독감 ,Flu
종교를 34,종교를 ,Religion
출발합니다 34,출발합니다 ,Departure
찾습니다 34,찾습니다 ,Find
표현이 34,표현이 ,The expression
일병 34,일병 ,Private
잠시동안 34,잠시동안 ,For a while
창문은 34,창문은 ,The window is
차지하고 34,차지하고 ,Occupy
무서울 34,무서울 ,Scary
군복을 33,군복을 ,Military uniform
만나려고 33,만나려고 ,To meet
소원 33,소원 ,Wish
자신들을 33,자신들을 ,Themselves
윈터펠의 33,윈터펠의 ,Winterfell's
불리하게 33,불리하게 ,Disadvantageous
선택받은 33,선택받은 ,Chosen
종을 33,종을 ,The bell
100달러 33,100달러 ,100 dollars
추수 33,추수 ,Harvest
지냈니 33,지냈니 ,How have you been?
상태예요 33,상태예요 ,It's a state
눈빛을 33,눈빛을 ,The eyes
시키면 33,시키면 ,If you order it
3번째 33,3번째 ,3rd
구해줬어 33,구해줬어 ,Saved me
근본적으로 33,근본적으로 ,Fundamentally
